, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102838_realistic_utpSolver127.xml, Model[Modele USP], Solutions:1, Buildingtime:1,518s, Fails:819, Restarts:4, Variables:26818, Constraints:15266, Nodes:5815, Backtracks:5605, Resolutiontime:7,976s, Memory : 545.92 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102555_realistic_utpSolver7.xml, Model[Modele USP], Solutions:1, Buildingtime:1,741s, Fails:18, Restarts:0, Variables:37214, Constraints:19261, Nodes:1739, Backtracks:18, Resolutiontime:6,783s, Memory : 813.63 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103041_realistic_utpSolver253.xml, Model[Modele USP], Solutions:1, Buildingtime:1,594s, Fails:101, Restarts:1, Variables:41986, Constraints:23482, Nodes:3124, Backtracks:1680, Resolutiontime:7,100s, Memory : 801.34 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102555_realistic_utpSolver5.xml, Model[Modele USP], Solutions:1, Buildingtime:2,257s, Fails:40, Restarts:0, Variables:58929, Constraints:30988, Nodes:2656, Backtracks:40, Resolutiontime:8,866s, Memory : 891.13 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102929_realistic_utpSolver185.xml, Model[Modele USP], Solutions:1, Buildingtime:2,277s, Fails:200, Restarts:1, Variables:64196, Constraints:33731, Nodes:5683, Backtracks:2984, Resolutiontime:10,327s, Memory : 911.39 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver23.xml, Model[Modele USP], Solutions:1, Buildingtime:2,211s, Fails:4996, Restarts:8, Variables:56886, Constraints:29636, Nodes:28047, Backtracks:30371, Resolutiontime:23,677s, Memory : 882.78 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104159_realistic_utpSolver512.xml, Model[Modele USP], Solutions:1, Buildingtime:1,288s, Fails:7, Restarts:0, Variables:20157, Constraints:10893, Nodes:878, Backtracks:7, Resolutiontime:2,649s, Memory : 459.19 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103909_realistic_utpSolver377.xml, Model[Modele USP], Solutions:1, Buildingtime:1,544s, Fails:3, Restarts:0, Variables:26014, Constraints:14686, Nodes:992, Backtracks:3, Resolutiontime:3,182s, Memory : 587.70 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104151_realistic_utpSolver505.xml, Model[Modele USP], Solutions:1, Buildingtime:1,547s, Fails:3, Restarts:0, Variables:34215, Constraints:19602, Nodes:1294, Backtracks:3, Resolutiontime:3,365s, Memory : 702.86 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103100_realistic_utpSolver261.xml, Model[Modele USP], Solutions:1, Buildingtime:1,373s, Fails:103, Restarts:1, Variables:23484, Constraints:12516, Nodes:2106, Backtracks:1198, Resolutiontime:4,784s, Memory : 676.22 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103255_realistic_utpSolver309.xml, Model[Modele USP], Solutions:1, Buildingtime:1,832s, Fails:15, Restarts:0, Variables:46685, Constraints:28134, Nodes:1598, Backtracks:15, Resolutiontime:5,914s, Memory : 754.73 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103947_realistic_utpSolver409.xml, Model[Modele USP], Solutions:1, Buildingtime:1,148s, Fails:1, Restarts:0, Variables:13358, Constraints:7646, Nodes:487, Backtracks:1, Resolutiontime:1,886s, Memory : 201.84 MB
